mapping_id,target_domain,target_variable,target_value,source_dataset,source_variables,transform_id,transform_parameters,records_created,reviewer,approved_at
AE001,AE,STUDYID,,ae_raw,STUDY,direct_map,[],8,portfolio_demo_reviewer,2026-09-01T12:39:14Z
AE002,AE,DOMAIN,,ae_raw,,assign_constant,"{""value"":""AE""}",8,portfolio_demo_reviewer,2026-09-01T12:39:14Z
AE003,AE,USUBJID,,ae_raw,STUDY | PATNUM,derive_usubjid,"{""separator"":""-""}",8,portfolio_demo_reviewer,2026-09-01T12:39:14Z
AE004,AE,AESEQ,,ae_raw,,derive_sequence,"{""record_variables"":[""STUDYID"",""USUBJID"",""AESTDTC"",""AETERM"",""AEDECOD"","".SOURCE_ROW""]}",8,portfolio_demo_reviewer,2026-09-01T12:39:14Z
AE005,AE,AETERM,,ae_raw,IT.AETERM,direct_map,[],8,portfolio_demo_reviewer,2026-09-01T12:39:14Z
AE006,AE,AEDECOD,,ae_raw,AEDECOD,direct_map,[],8,portfolio_demo_reviewer,2026-09-01T12:39:14Z
AE007,AE,AEBODSYS,,ae_raw,AEBODSYS,custom_transform,"{""name"":""uppercase""}",8,portfolio_demo_reviewer,2026-09-01T12:39:14Z
AE008,AE,AESEV,,ae_raw,IT.AESEV,map_controlled_term,"{""terms"":{""Mild Adverse Event"":""MILD"",""Moderate Adverse Event"":""MODERATE"",""Severe Adverse Event"":""SEVERE""}}",8,portfolio_demo_reviewer,2026-09-01T12:39:14Z
AE009,AE,AESER,,ae_raw,IT.AESER,map_controlled_term,"{""terms"":{""Yes"":""Y"",""No"":""N""}}",8,portfolio_demo_reviewer,2026-09-01T12:39:14Z
AE010,AE,AEREL,,ae_raw,IT.AEREL,map_controlled_term,"{""terms"":{""Probably Related"":""PROBABLE"",""Possibly Related"":""POSSIBLE"",""Unlikely Related"":""UNLIKELY"",""Not Related"":""NOT RELATED""}}",8,portfolio_demo_reviewer,2026-09-01T12:39:14Z
